tok0,tok1,tok2,n_active,both_idle,c2_rank,c3_rank,act,c2_s1,c2_s3,c3_s1,c3_s3
5,1,0,2,1,7,7,0,1,1,0,2
15,4,2,6,1,7,7,0,1,1,1,1
15,1,1,4,1,7,7,2,2,2,-1,-1
15,1,1,3,0,7,7,3,-1,-1,2,2
15,1,0,2,0,7,7,1,0,0,0,0
1,0,0,1,1,7,7,2,2,2,-1,-1
18,6,0,2,1,0,1,1,0,0,0,0
6,0,0,1,0,7,7,1,1,1,1,1
12,4,0,2,1,7,7,1,1,1,1,1
4,0,0,1,1,7,7,1,1,1,1,1
17,7,0,2,1,7,7,1,0,0,0,0
7,0,0,1,0,7,7,1,1,1,1,1
8,8,8,6,1,7,7,0,0,0,0,1
8,8,8,4,1,7,7,4,-1,-1,2,-1
8,8,8,4,1,7,0,1,1,1,1,1
8,8,8,3,1,7,7,1,1,1,1,1
8,8,0,2,1,7,7,0,0,0,0,0
6,6,6,8,1,7,7,0,1,1,1,1
6,6,6,6,1,7,7,4,-1,-1,0,-1
6,6,6,6,1,7,0,2,1,1,-1,-1
6,6,6,5,0,7,7,3,-1,-1,1,1
6,6,6,4,1,7,7,4,-1,-1,0,-1
6,6,6,4,1,7,0,2,1,1,-1,-1
6,6,6,3,0,7,7,3,-1,-1,1,2
6,6,0,2,0,7,7,4,2,-1,-1,-1
6,6,0,2,0,0,7,0,1,1,1,1
47,12,5,3,1,7,7,1,0,0,0,0
12,5,0,2,1,7,7,4,0,-1,-1,-1
12,5,0,2,1,0,7,1,1,1,1,1
5,0,0,1,1,7,7,1,1,1,1,1
40,11,5,8,1,7,7,2,2,2,-1,-1
40,11,5,7,0,7,7,3,-1,-1,2,2
40,11,5,6,0,7,7,2,2,2,-1,-1
40,11,5,5,0,7,7,3,-1,-1,1,2
40,11,5,4,0,7,7,2,1,1,-1,-1
40,11,3,3,0,7,7,3,-1,-1,1,1
40,11,0,2,0,7,7,1,0,0,0,0
11,0,0,1,1,7,7,1,1,1,1,1
12,4,0,2,1,0,1,1,1,1,1,1
4,0,0,1,1,7,7,1,1,1,1,1
32,0,0,1,1,0,7,1,0,0,0,0
23,5,2,5,1,7,7,2,2,2,-1,-1
23,5,1,4,0,7,7,3,-1,-1,2,2
23,5,1,3,0,7,7,2,2,2,-1,-1
23,5,0,2,0,7,7,1,0,0,0,0
5,0,0,1,1,7,7,1,1,1,1,1
2,2,0,2,1,0,1,0,2,1,2,1
9,1,1,8,1,7,7,0,1,1,1,1
9,1,1,6,1,7,7,0,1,1,1,1
9,1,1,4,1,7,7,2,2,2,-1,-1
9,1,1,3,0,7,7,3,-1,-1,2,2
9,1,0,2,0,7,7,1,1,1,1,2
1,0,0,1,0,7,7,2,2,2,-1,-1
11,6,4,4,1,7,7,0,1,1,1,0
11,3,0,2,0,7,7,4,0,-1,-1,-1
11,3,0,2,0,0,7,3,-1,-1,1,1
11,0,0,1,0,0,7,1,1,1,1,1
32,0,0,1,1,7,7,1,0,0,0,0
29,14,9,5,1,7,7,0,0,0,0,1
29,14,9,3,0,7,7,4,-1,-1,2,-1
29,14,9,3,0,7,0,1,0,0,0,0
14,9,0,2,0,7,7,4,0,-1,-1,-1
14,9,0,2,0,0,7,0,0,0,0,0
6,1,1,3,1,7,7,0,1,1,1,2
1,0,0,1,0,7,7,3,-1,-1,1,2
17,7,0,2,1,7,7,1,0,0,0,0
7,0,0,1,0,7,7,1,1,1,1,1
23,6,3,3,1,7,7,1,0,0,0,0
6,3,0,2,1,7,7,4,2,-1,-1,-1
6,3,0,2,1,0,7,0,1,1,1,0
4,0,0,1,1,7,7,1,1,1,1,1
45,19,0,2,1,7,7,1,0,0,0,0
19,0,0,1,0,7,7,1,0,0,0,0
46,9,3,8,1,7,7,2,2,2,-1,-1
46,9,3,7,0,7,7,3,-1,-1,2,2
46,9,3,6,0,7,7,2,2,2,-1,-1
46,9,3,5,0,7,7,3,-1,-1,2,1
46,9,3,4,0,7,7,2,1,1,-1,-1
46,9,1,3,0,7,7,3,-1,-1,1,2
46,9,0,2,0,7,7,1,0,0,0,0
9,0,0,1,0,7,7,1,1,0,1,1
5,3,0,2,1,7,7,0,1,1,1,0
4,2,2,5,1,7,7,0,1,1,1,1
2,2,2,3,1,7,7,0,1,1,1,1
2,0,0,1,1,7,7,2,2,2,-1,-1
17,17,7,4,1,0,1,0,0,0,0,1
17,17,0,2,1,7,7,4,-1,-1,2,-1
17,17,0,2,1,7,0,0,0,0,0,0
24,22,6,5,1,0,7,0,1,1,1,1
24,22,6,3,1,7,7,4,-1,-1,0,-1
24,22,6,3,1,7,0,2,1,1,-1,-1
24,22,0,2,0,7,0,0,0,0,0,0
4,0,0,1,1,7,7,1,1,1,1,1
8,2,2,5,1,7,7,0,1,1,1,1
8,2,2,3,1,7,7,2,2,2,-1,-1
8,2,0,2,0,7,7,1,1,1,1,1
2,0,0,1,1,7,7,2,2,2,-1,-1
4,2,2,3,1,0,1,0,1,1,2,2
2,0,0,1,0,7,7,3,-1,-1,1,2
24,0,0,1,1,0,7,1,0,0,0,0
6,4,2,5,1,7,7,0,1,1,1,1
6,2,2,3,1,7,7,2,2,2,-1,-1
6,2,0,2,0,7,7,0,1,1,0,2
5,1,1,4,1,7,7,2,2,2,-1,-1
5,1,1,3,0,7,7,3,-1,-1,2,2
5,1,0,2,0,7,7,2,2,2,-1,-1
5,0,0,1,0,7,7,1,1,1,1,1
3,1,0,2,1,7,7,0,1,1,1,1
1,1,1,8,1,7,7,0,1,1,1,1
1,1,1,6,1,7,7,0,1,1,1,1
1,1,1,4,1,7,7,0,1,1,1,1
1,1,0,2,1,7,7,0,1,1,1,1
8,8,8,8,1,7,7,0,0,0,0,1
